Confidence,Correct
19.603392857142858,1
18.10232142857143,0
19.112321428571427,1
19.670357142857142,1
18.761607142857144,0
20.175,0
20.703214285714285,0
19.305,0
18.671607142857145,0
19.411785714285713,0
18.308035714285715,0
20.71125,1
18.645892857142858,0
19.618928571428572,1
18.827142857142857,1
21.65267857142857,1
20.10107142857143,0
20.94857142857143,1
20.376785714285713,0
20.358035714285716,1
20.96392857142857,1
20.551964285714284,0
20.46107142857143,0
19.724464285714287,1
20.424107142857142,0
20.468214285714286,0
19.67982142857143,0
20.332142857142856,0
19.482857142857142,0
19.217321428571427,0
21.32464285714286,0
21.336607142857144,0
19.747112211221122,1
19.509642857142858,0
20.036607142857143,0
20.423571428571428,0
20.63607142857143,1
20.00857142857143,0
20.561964285714286,0
20.34464285714286,0
18.17142857142857,0
21.267678571428572,1
18.96857142857143,0
19.240535714285713,0
20.32482142857143,0
20.738214285714285,1
18.32089285714286,0
20.72267857142857,0
20.14142857142857,0
18.598214285714285,0
20.88267857142857,0
21.41017857142857,0
19.130892857142857,1
21.815,1
20.123214285714287,1
19.72517857142857,0
21.108214285714286,1
19.72642857142857,0
20.248214285714287,0
20.07875,0
19.843214285714286,1
21.19392857142857,1
20.724285714285713,0
20.275178571428572,0
18.987321428571427,1
20.341785714285713,0
19.7225,1
19.696428571428573,0
20.655535714285715,0
20.521607142857142,0
20.69589285714286,0
20.511607142857144,1
20.357678571428572,0
19.026785714285715,0
19.557142857142857,0
19.673392857142858,0
19.144642857142856,0
21.854285714285716,1
21.640892857142855,0
21.27,0
19.072142857142858,1
20.09357142857143,0
21.3125,1
18.97375,1
19.63875,1
21.774464285714284,1
18.478928571428572,0
20.571607142857143,0
18.5575,0
19.839642857142856,0
20.212678571428572,1
18.921785714285715,1
19.096964285714286,1
18.813214285714285,0
20.369642857142857,0
18.437857142857144,0
21.152857142857144,0
18.860714285714284,0
19.26482142857143,1
22.462678571428572,1
